,puma,all_crimes07,theft_crimes07,assault_crimes07,child_crimes07,drug_crimes07
0,3701,5479,1725,443,1,285
1,3702,8249,1731,741,3,1269
2,3703,5524,1548,405,1,225
3,3704,7282,2186,592,4,261
4,3705,16566,4119,2072,7,1858
5,3706,9380,2293,966,5,1107
6,3707,12885,2292,1535,5,2248
7,3708,12774,2582,1310,2,2593
8,3709,15370,3212,1552,7,3382
9,3710,18671,4300,1860,0,2095
10,3801,11100,2872,1086,3,1019
11,3802,10149,2516,908,9,1400
12,3803,12627,2678,1295,1,1771
13,3804,12739,2766,1250,6,1318
14,3805,7769,4189,383,0,130
15,3806,9658,4164,675,1,473
16,3807,28360,16417,1782,16,922
17,3808,7753,3854,557,6,112
18,3809,11020,3587,1085,7,852
19,3810,15276,8031,746,2,623
20,3901,5740,1228,422,2,144
21,3902,7637,2049,594,7,190
22,3903,11635,2455,1195,14,930
23,4001,7558,2895,687,0,361
24,4002,8933,2466,1206,2,542
25,4003,11765,3224,1341,8,1085
26,4004,11752,4817,899,2,781
27,4005,6213,2329,501,0,356
28,4006,11160,2840,1244,3,1765
29,4007,12771,2655,1691,3,1895
30,4008,12474,3120,1589,3,1612
31,4009,10467,3451,1065,2,425
32,4010,7921,2210,973,2,586
33,4011,7477,2111,946,0,484
34,4012,6106,1818,817,1,303
35,4013,5035,1760,372,1,50
36,4014,4071,1580,372,1,69
37,4015,7151,2345,802,1,386
38,4016,6657,2360,647,2,206
39,4017,6667,2163,689,3,113
40,4018,6317,1974,653,2,435
41,4101,9114,3160,890,65,230
42,4102,8802,2581,1012,5,500
43,4103,8422,3492,657,3,47
44,4104,3538,1279,221,0,49
45,4105,8212,2679,861,3,92
46,4106,5988,2199,519,0,56
47,4107,5571,2603,537,1,52
48,4108,3833,1729,251,1,67
49,4109,6511,2456,576,10,92
50,4110,7020,2361,593,1,113
51,4111,6819,1999,752,0,96
52,4112,14248,4350,1656,6,476
53,4113,6667,1898,663,0,175
54,4114,6143,1182,749,2,257
